image,predictions
e30fb54faba768.jpg,blue_whale new_individual beluga humpback_whale gray_whale southern_right_whale
8e3ccc39902f2c.jpg,new_individual beluga blue_whale humpback_whale southern_right_whale gray_whale
17556ef4f6db01.jpg,blue_whale new_individual humpback_whale beluga gray_whale southern_right_whale
3f2ad9c6190045.jpg,new_individual dusky_dolphin short_finned_pilot_whale bottlenose_dolphin false_killer_whale blue_whale
9010c7a4259968.jpg,new_individual blue_whale bottlenose_dolphin humpback_whale false_killer_whale short_finned_pilot_whale
6e0be1058bbc48.jpg,humpback_whale new_individual bottlenose_dolphin short_finned_pilot_whale false_killer_whale melon_headed_whale
7b1f9d7577a46e.jpg,blue_whale new_individual humpback_whale beluga gray_whale bottlenose_dolphin
a40ec8ea95411c.jpg,new_individual short_finned_pilot_whale bottlenose_dolphin melon_headed_whale false_killer_whale dusky_dolphin
5e917b4524adf7.jpg,humpback_whale new_individual bottlenose_dolphin melon_headed_whale false_killer_whale gray_whale
ce7237f594e0a6.jpg,humpback_whale new_individual gray_whale bottlenose_dolphin beluga southern_right_whale
826b1089536972.jpg,blue_whale new_individual humpback_whale bottlenose_dolphin commersons_dolphin short_finned_pilot_whale
425adb3c45774f.jpg,new_individual humpback_whale blue_whale bottlenose_dolphin short_finned_pilot_whale gray_whale
ae13cdfd0a9f08.jpg,blue_whale new_individual humpback_whale beluga gray_whale bottlenose_dolphin
2b8dab7f0e122e.jpg,new_individual humpback_whale short_finned_pilot_whale blue_whale bottlenose_dolphin commersons_dolphin
4846114cc6e160.jpg,new_individual short_finned_pilot_whale dusky_dolphin bottlenose_dolphin false_killer_whale melon_headed_whale
59dcc9c17bf5ab.jpg,new_individual southern_right_whale beluga humpback_whale gray_whale blue_whale
3b2b7276497a73.jpg,beluga new_individual southern_right_whale humpback_whale gray_whale blue_whale
f9573c249ef4fa.jpg,new_individual southern_right_whale humpback_whale bottlenose_dolphin false_killer_whale short_finned_pilot_whale
af1ad9d6ba3c63.jpg,humpback_whale new_individual southern_right_whale beluga gray_whale bottlenose_dolphin
b27a44583539c0.jpg,new_individual false_killer_whale bottlenose_dolphin spinner_dolphin killer_whale spotted_dolphin
a04f9be80efec1.jpg,blue_whale new_individual beluga humpback_whale gray_whale bottlenose_dolphin
d582a7d0f51526.jpg,blue_whale new_individual beluga humpback_whale gray_whale bottlenose_dolphin
fa16e58e58fbb5.jpg,blue_whale new_individual humpback_whale gray_whale beluga bottlenose_dolphin
c8e4587ad746f9.jpg,bottlenose_dolphin new_individual false_killer_whale killer_whale white_sided_dolphin spinner_dolphin
fe4df407be9c5d.jpg,new_individual blue_whale humpback_whale bottlenose_dolphin short_finned_pilot_whale gray_whale
eb1f5b249a49bd.jpg,dusky_dolphin new_individual blue_whale bottlenose_dolphin spinner_dolphin melon_headed_whale
bc5bb13377a9c3.jpg,new_individual humpback_whale southern_right_whale blue_whale gray_whale bottlenose_dolphin
58b76de04a6338.jpg,new_individual blue_whale bottlenose_dolphin short_finned_pilot_whale commersons_dolphin humpback_whale
b9336b423ace72.jpg,blue_whale new_individual humpback_whale bottlenose_dolphin gray_whale dusky_dolphin
74f0b474919189.jpg,new_individual short_finned_pilot_whale bottlenose_dolphin false_killer_whale humpback_whale spinner_dolphin
aeedfeb926236a.jpg,new_individual humpback_whale southern_right_whale blue_whale gray_whale beluga
66ab4c01ecac94.jpg,new_individual short_finned_pilot_whale bottlenose_dolphin melon_headed_whale dusky_dolphin humpback_whale
8c178789c6bfd4.jpg,new_individual blue_whale bottlenose_dolphin humpback_whale short_finned_pilot_whale false_killer_whale
